region_name,municipality_name,installation_name,installation_code,process_name,process_code
Chaudière-Appalaches,Montmagny,Installation de production Montmagny,X0008218,"Chloration
Filtration","CHL
FIL"
Chaudière-Appalaches,Saint-Anselme,Installation de production St-Anselme,X0009736,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Chaudière-Appalaches,Saint-François-de-la-Rivière-du-Sud,Installation de production Saint-Francois-de-la-Riv.-du-Sud,X0008296,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Chaudière-Appalaches,Saint-Georges,Installation de production Saint-Georges,X0010687,"Chloration
Filtration
Ozonation
Charbon","CHL
FIL
OZ
CHB"
Chaudière-Appalaches,Saint-Henri,Installation de production Saint-Henri,X2002636,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Chaudière-Appalaches,Saint-Jean-Port-Joli,Installation de production Saint-Jean-Port-Joli,X0009043,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Chaudière-Appalaches,Sainte-Marie,Installation de production Sainte-Marie,X2134730,"Chloration
Filtration
Ozonation
Ultraviolet","CHL
FIL
OZ
UB"
Chaudière-Appalaches,Thetford Mines,Installation de production Thetford Mines,X0010786,"Chloration
Filtration","CHL
FIL"
Côte-Nord,Baie-Comeau,Station de purification Baie-Comeau (Mingan) (aut.trai.),X0010426,Chloration,CHL
Côte-Nord,Baie-Comeau,Station de purification Baie-Comeau (St-Georges)(post.chl.),X0010425,Chloration,CHL
Côte-Nord,Baie-Comeau,Station de purification Baie-Comeau(Ste-Amélie) (post.chl.),X0010423,Chloration,CHL
Côte-Nord,Baie-Johan-Beetz,Station de purification Baie-Johan-Beetz (aut.trai.),X0009692,Chloration,CHL
Côte-Nord,Chute-aux-Outardes,Station de purification Chutes-aux-Outardes (post.chl.),X0008237,Chloration,CHL
Côte-Nord,Côte-Nord-du-Golfe-du-Saint-Laurent,Station de purification (Harrington-Harbour 2011),X2132535,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Côte-Nord,Fermont,Station de purification Fermont (aut.trai.),X0009997,Chloration,CHL
Côte-Nord,Kawawachikamach,Station de purification de Kawawachikamach (aut. trai.),X2092640,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Côte-Nord,La Romaine,Station de purification (Bande indienne de montagnais de la Romaine),X2094939,"Chloration
Filtration","CHL
FIL"
Côte-Nord,Les Bergeronnes,Station de purification Les Bergeronnes (post.chl.),X0009961,Chloration,CHL
Côte-Nord,Les Escoumins,Station de purification Escoumins (post.chl.),X0008243,Chloration,CHL
Côte-Nord,Port-Cartier,Station de purification Port-Cartier (aut. trait. 2001),X0008255,"Chloration
Filtration","CHL
FIL"
Côte-Nord,Port-Cartier,Station de purification Riviere-Pentecôte (post.chl.),X0009699,Chloration,CHL
Côte-Nord,Saint-Augustin,Station de purification Saint-Augustin (aut. trai. 2011),X0010722,"Chloration
Filtration","CHL
FIL"
Côte-Nord,Schefferville,Station de purification Schefferville(post.chl.),X0009570,Chloration,CHL
Côte-Nord,Sept-Îles,Station de purification Sept-Îles (aut. trai.),X0008231,"Chloration
Filtration","CHL
FIL"
Côte-Nord,Tadoussac,Station de purification Tadoussac (aut. trait.),X0008310,"Chloration
Ultraviolet","CHL
UB"
Estrie,Asbestos,Station de purification Asbestos,X0008198,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Estrie,Danville,Station de purification Danville,X0008336,"Chloration
Filtration","CHL
FIL"
Estrie,Eastman,Station de purification Eastman,X0008524,Chloration,CHL
Estrie,Magog,Station de purification Ville de Magog,X0008196,Chloration,CHL
Estrie,North Hatley,Poste d'eau potable North Hatley (RIEM),X2128577,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Estrie,Potton,Station de purification Potton-Secteur Owl's Head,X0008501,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
